#,Country,Body,Screen,Battery,Accessories,Price,Key
1,Local,GradeA,GradeA,91-100%,CableBox,1105,Local_GradeA_GradeA_91-100%_CableBox
2,Local,GradeA,GradeA,91-100%,Box,1090,Local_GradeA_GradeA_91-100%_Box
3,Local,GradeA,GradeA,91-100%,Cable,1085,Local_GradeA_GradeA_91-100%_Cable
4,Local,GradeA,GradeA,86-90%,CableBox,1075,Local_GradeA_GradeA_86-90%_CableBox
5,Local,GradeA,GradeA,91-100%,None,1070,Local_GradeA_GradeA_91-100%_None
6,Local,GradeA,GradeA,86-90%,Box,1060,Local_GradeA_GradeA_86-90%_Box
7,Local,GradeA,GradeA,86-90%,Cable,1055,Local_GradeA_GradeA_86-90%_Cable
8,Local,GradeA,GradeA,81-85%,CableBox,1045,Local_GradeA_GradeA_81-85%_CableBox
9,Local,GradeA,GradeB,91-100%,CableBox,1045,Local_GradeA_GradeB_91-100%_CableBox
10,Export,GradeA,GradeA,91-100%,CableBox,1045,Export_GradeA_GradeA_91-100%_CableBox
11,Local,GradeA,GradeA,86-90%,None,1040,Local_GradeA_GradeA_86-90%_None
12,Local,GradeA,GradeA,81-85%,Box,1030,Local_GradeA_GradeA_81-85%_Box
13,Local,GradeA,GradeB,91-100%,Box,1030,Local_GradeA_GradeB_91-100%_Box
14,Export,GradeA,GradeA,91-100%,Box,1030,Export_GradeA_GradeA_91-100%_Box
15,Local,GradeA,GradeA,81-85%,Cable,1025,Local_GradeA_GradeA_81-85%_Cable
16,Local,GradeA,GradeA,80%,CableBox,1025,Local_GradeA_GradeA_80%_CableBox
17,Local,GradeA,GradeB,91-100%,Cable,1025,Local_GradeA_GradeB_91-100%_Cable
18,Export,GradeA,GradeA,91-100%,Cable,1025,Export_GradeA_GradeA_91-100%_Cable
19,Local,GradeA,GradeA,81-85%,None,1010,Local_GradeA_GradeA_81-85%_None
20,Local,GradeA,GradeA,80%,Box,1010,Local_GradeA_GradeA_80%_Box
21,Local,GradeA,GradeB,91-100%,None,1010,Local_GradeA_GradeB_91-100%_None
22,Export,GradeA,GradeA,91-100%,None,1010,Export_GradeA_GradeA_91-100%_None
23,Local,GradeA,GradeA,80%,Cable,1005,Local_GradeA_GradeA_80%_Cable
24,Local,GradeB,GradeA,91-100%,CableBox,1005,Local_GradeB_GradeA_91-100%_CableBox
25,Local,GradeA,GradeB,86-90%,CableBox,994,Local_GradeA_GradeB_86-90%_CableBox
26,Export,GradeA,GradeA,86-90%,CableBox,994,Export_GradeA_GradeA_86-90%_CableBox
27,Local,GradeA,GradeA,80%,None,990,Local_GradeA_GradeA_80%_None
28,Local,GradeB,GradeA,91-100%,Box,990,Local_GradeB_GradeA_91-100%_Box
29,Local,GradeB,GradeA,91-100%,Cable,985,Local_GradeB_GradeA_91-100%_Cable
30,Export,GradeA,GradeB,91-100%,CableBox,985,Export_GradeA_GradeB_91-100%_CableBox
31,Local,GradeA,GradeB,86-90%,Box,979,Local_GradeA_GradeB_86-90%_Box
32,Export,GradeA,GradeA,86-90%,Box,979,Export_GradeA_GradeA_86-90%_Box
33,Local,GradeA,GradeC,91-100%,CableBox,975,Local_GradeA_GradeC_91-100%_CableBox
34,Local,GradeA,GradeB,86-90%,Cable,974,Local_GradeA_GradeB_86-90%_Cable
35,Export,GradeA,GradeA,86-90%,Cable,974,Export_GradeA_GradeA_86-90%_Cable
36,Local,GradeB,GradeA,91-100%,None,970,Local_GradeB_GradeA_91-100%_None
37,Export,GradeA,GradeB,91-100%,Box,970,Export_GradeA_GradeB_91-100%_Box
38,Export,GradeA,GradeB,91-100%,Cable,965,Export_GradeA_GradeB_91-100%_Cable
39,Local,GradeA,GradeC,91-100%,Box,960,Local_GradeA_GradeC_91-100%_Box
40,Local,GradeA,GradeB,86-90%,None,959,Local_GradeA_GradeB_86-90%_None
41,Export,GradeA,GradeA,86-90%,None,959,Export_GradeA_GradeA_86-90%_None
42,Local,GradeB,GradeA,86-90%,CableBox,956,Local_GradeB_GradeA_86-90%_CableBox
43,Local,GradeA,GradeC,91-100%,Cable,955,Local_GradeA_GradeC_91-100%_Cable
44,Local,GradeC,GradeA,91-100%,CableBox,955,Local_GradeC_GradeA_91-100%_CableBox
45,Export,GradeA,GradeB,91-100%,None,950,Export_GradeA_GradeB_91-100%_None
46,Local,GradeB,GradeB,91-100%,CableBox,945,Local_GradeB_GradeB_91-100%_CableBox
47,Export,GradeB,GradeA,91-100%,CableBox,945,Export_GradeB_GradeA_91-100%_CableBox
48,Local,GradeB,GradeA,86-90%,Box,941,Local_GradeB_GradeA_86-90%_Box
49,Local,GradeA,GradeC,91-100%,None,940,Local_GradeA_GradeC_91-100%_None
